,Course Subject,Course Number,Topic,URI
0,COMP,691,Computer Science,http://dbpedia.org/resource/Computer_science
1,COMP,691,COMP,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific
2,COMP,791,Computer Science,http://dbpedia.org/resource/Computer_science
3,COMP,791,COMP,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific
4,COMP,6231,distributed computing,http://dbpedia.org/resource/Distributed_computing
5,COMP,6231,scalability,http://dbpedia.org/resource/Scalability
6,COMP,6231,concurrency,http://dbpedia.org/resource/Concurrent_computing
7,COMP,6231,fault tolerance,http://dbpedia.org/resource/Fault_tolerance
8,COMP,6231,Client-server,http://dbpedia.org/resource/Client–server_model
9,COMP,6231,interprocess communication,http://dbpedia.org/resource/Inter-process_communication
10,COMP,6231,communication,http://dbpedia.org/resource/Communication
11,COMP,6231,remote procedure call,http://dbpedia.org/resource/Remote_procedure_call
12,COMP,6231,CORBA,http://dbpedia.org/resource/Common_Object_Request_Broker_Architecture
13,COMP,6231,server,http://dbpedia.org/resource/Web_server
14,COMP,6231,concurrency control,http://dbpedia.org/resource/Concurrency_control
15,COMP,6231,fault-tolerant,http://dbpedia.org/resource/Fault_tolerance
16,COMP,6231,distributed systems,http://dbpedia.org/resource/Distributed_computing
17,COMP,6281,Neumann,http://dbpedia.org/resource/Balthasar_Neumann
18,COMP,6281,parallel processing,http://dbpedia.org/resource/Parallel_computing
19,COMP,6281,message-passing,http://dbpedia.org/resource/Message_passing
20,COMP,6281,massively parallel,http://dbpedia.org/resource/MIMD
21,COMP,6281,commodity,http://dbpedia.org/resource/Commodity_computing
22,COMP,6281,multi-core,http://dbpedia.org/resource/Multi-core_processor
23,COMP,6281,heterogeneous computing,http://dbpedia.org/resource/Heterogeneous_computing
24,COMP,6281,memory,http://dbpedia.org/resource/Computer_memory
25,COMP,6281,load balancing,http://dbpedia.org/resource/Weight_distribution
26,COMP,6281,message passing,http://dbpedia.org/resource/Message_passing
27,COMP,6281,scalability,http://dbpedia.org/resource/Scalability
28,COMP,6281,Parallel programming,http://dbpedia.org/resource/Parallel_computing
29,COMP,7241,memory,http://dbpedia.org/resource/Computer_memory
30,COMP,7241,complexity analysis,http://dbpedia.org/resource/Analysis_of_algorithms
31,COMP,7251,mobile computing,http://dbpedia.org/resource/Mobile_computing
32,COMP,7251,wireless,http://dbpedia.org/resource/Wireless_LAN
33,COMP,7251,PAN,http://dbpedia.org/resource/Personal_area_network
34,COMP,7251,MAN,http://dbpedia.org/resource/Metropolitan_area_network
35,COMP,7251,sensor networks,http://dbpedia.org/resource/Wireless_sensor_network
36,COMP,7251,topology,http://dbpedia.org/resource/Network_topology
37,COMP,6311,traditional animation,http://dbpedia.org/resource/Traditional_animation
38,COMP,6311,pipeline,http://dbpedia.org/resource/Graphics_pipeline
39,COMP,6311,interpolation,http://dbpedia.org/resource/Interpolation
40,COMP,6311,inverse kinematics,http://dbpedia.org/resource/Inverse_kinematics
41,COMP,6311,motion control,http://dbpedia.org/resource/Motion_control
42,COMP,6321,Machine Learning,http://dbpedia.org/resource/Machine_learning
43,COMP,6321,polynomial regression,http://dbpedia.org/resource/Polynomial_regression
44,COMP,6321,overfitting,http://dbpedia.org/resource/Overfitting
45,COMP,6321,model selection,http://dbpedia.org/resource/Model_selection
46,COMP,6321,logistic regression,http://dbpedia.org/resource/Logistic_regression
47,COMP,6321,decision trees,http://dbpedia.org/resource/Decision_tree_learning
48,COMP,6321,neural networks,http://dbpedia.org/resource/Artificial_neural_network
49,COMP,6321,Support vector machines,http://dbpedia.org/resource/Support_vector_machine
50,COMP,6321,Computational learning theory,http://dbpedia.org/resource/Computational_learning_theory
51,COMP,6321,deep belief networks,http://dbpedia.org/resource/Deep_belief_network
52,COMP,6321,Unsupervised learning,http://dbpedia.org/resource/Unsupervised_learning
53,COMP,6321,k-means,http://dbpedia.org/resource/K-means_clustering
54,COMP,6321,expectation maximization,http://dbpedia.org/resource/Expectation–maximization_algorithm
55,COMP,6321,principle component analysis,http://dbpedia.org/resource/Principal_component_analysis
56,COMP,6321,dimensionality reduction,http://dbpedia.org/resource/Dimensionality_reduction
57,COMP,6321,dynamical systems,http://dbpedia.org/resource/Dynamical_system
58,COMP,6321,Markov,http://dbpedia.org/resource/Hidden_Markov_model
